date,exercised_atleast_30_mins,ate_homemade_meals,practiced_meditation,read_atleast_30_mins,drank_adequate_water,slept_over_7_hrs,wrote_gratitude_journal,limited_screen_time_to_1_hr,practiced_good_posture,connected_with_friends
2023-05-01,no,no,no,no,no,no,no,no,no,no
2023-05-01,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-01,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-01,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-01,no,no,no,no,no,no,no,no,no,no
2023-05-02,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-02,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-02,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-02,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-02,no,no,no,no,no,no,no,no,no,no
2023-05-02,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-02,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-02,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-02,no,no,no,no,no,no,no,no,no,no
2023-05-02,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-03,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-03,no,no,no,no,no,no,no,no,no,no
2023-05-03,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-03,no,no,no,no,no,no,no,no,no,no
2023-05-03,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-03,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-03,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-03,no,no,no,no,no,no,no,no,no,no
2023-05-03,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-03,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-04,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-04,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-04,no,no,no,no,no,no,no,no,no,no
2023-05-04,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-04,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-04,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-04,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-04,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-04,no,no,no,no,no,no,no,no,no,no
2023-05-04,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-05,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-05,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-05,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-05,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-05,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-05,no,no,no,no,no,no,no,no,no,no
2023-05-05,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-05,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-05,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-05,no,no,no,no,no,no,no,no,no,no
2023-05-06,no,no,no,no,no,no,no,no,no,no
2023-05-06,no,no,no,no,no,no,no,no,no,no
2023-05-06,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-06,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-06,no,no,no,no,no,no,no,no,no,no
2023-05-06,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-06,no,no,no,no,no,no,no,no,no,no
2023-05-06,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-06,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-06,no,no,no,no,no,no,no,no,no,no
2023-05-07,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-07,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-07,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-07,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-07,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-07,no,no,no,no,no,no,no,no,no,no
2023-05-07,no,no,no,no,no,no,no,no,no,no
2023-05-07,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-07,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-07,no,no,no,no,no,no,no,no,no,no
2023-05-08,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-08,no,no,no,no,no,no,no,no,no,no
2023-05-08,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-08,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-08,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-08,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-08,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-08,no,no,no,no,no,no,no,no,no,no
2023-05-08,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-08,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-09,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-09,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-09,no,no,no,no,no,no,no,no,no,no
2023-05-09,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-09,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-09,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-09,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-09,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-09,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-09,no,no,no,no,no,no,no,no,no,no
2023-05-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-10,no,no,no,no,no,no,no,no,no,no
2023-05-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-10,no,no,no,no,no,no,no,no,no,no
2023-05-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-11,no,no,no,no,no,no,no,no,no,no
2023-05-11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-11,no,no,no,no,no,no,no,no,no,no
2023-05-11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-11,no,no,no,no,no,no,no,no,no,no
2023-05-11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-11,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-12,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-12,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-12,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-12,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-12,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-12,no,no,no,no,no,no,no,no,no,no
2023-05-12,no,no,no,no,no,no,no,no,no,no
2023-05-12,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-12,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-12,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-13,no,no,no,no,no,no,no,no,no,no
2023-05-13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-13,no,no,no,no,no,no,no,no,no,no
2023-05-13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-13,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-14,no,no,no,no,no,no,no,no,no,no
2023-05-14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-14,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-14,no,no,no,no,no,no,no,no,no,no
2023-05-15,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-15,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-15,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-15,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-15,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-15,no,no,no,no,no,no,no,no,no,no
2023-05-15,no,no,no,no,no,no,no,no,no,no
2023-05-15,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-15,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-15,no,no,no,no,no,no,no,no,no,no
2023-05-16,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-16,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-16,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-16,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-16,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-16,no,no,no,no,no,no,no,no,no,no
2023-05-16,no,no,no,no,no,no,no,no,no,no
2023-05-16,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-16,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-16,no,no,no,no,no,no,no,no,no,no
2023-05-17,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-17,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-17,no,no,no,no,no,no,no,no,no,no
2023-05-17,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-17,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-17,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-17,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-17,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-17,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
2023-05-17,no,no,no,no,no,no,no,no,no,no
